read_930 status=OK qual=AA diff=<0, 0>  | 11510679 11511673 | pad: 11, 10 | 
read_931 status=OK qual=AB diff=<12, -1>  | 10210853 10211860 | pad: None, 10 | 
read_932 status=OK qual=AA diff=<0, -3>  | 12673526 12674525 | pad: 10, 8 | 
read_933 status=OK qual=AA diff=<0, -1>  | 11262502 11263499 | pad: 11, 10 | 
read_934 status=OK qual=AB diff=<0, -13>  | 5708619 5709636 | pad: 11, None | 
read_935 status=OK qual=AA diff=<0, -2>  | 1489733 1490741 | pad: 11, 9 | 
read_936 status=OK qual=AB diff=<0, -12>  | 2735578 2736588 | pad: 11, None | 
read_937 status=OK qual=AB diff=<12, -1>  | 986659 987672 | pad: None, 10 | 
read_938 status=OK qual=AA diff=<0, -1>  | 707645 708646 | pad: 11, 10 | 
read_939 status=OK qual=AA diff=<0, -1>  | 7006961 7007966 | pad: 11, 10 | 
read_940 status=OK qual=AA diff=<0, 0>  | 8134453 8135449 | pad: 11, 11 | 
read_941 status=OK qual=AA diff=<0, -1>  | 15084141 15085134 | pad: 11, 10 | 
read_942 status=OK qual=AA diff=<0, -3>  | 10891677 10892676 | pad: 11, 8 | 
read_943 status=OK qual=AA diff=<8, -1>  | 10323359 10324367 | pad: None, 10 | 
read_944 status=OK qual=AB diff=<10, 0>  | 17101876 17102880 | pad: None, 11 | 
read_945 status=OK qual=AA diff=<0, -1>  | 17178263 17179267 | pad: 11, 10 | 
read_946 status=OK qual=AA diff=<0, -1>  | 19373633 19374630 | pad: 11, 10 | 
read_947 status=OK qual=AA diff=<0, -1>  | 7393274 7394271 | pad: 11, 10 | 
read_948 status=OK qual=AB diff=<0, -11>  | 11589558 11590569 | pad: 11, None | 
read_949 status=OK qual=AA diff=<0, -2>  | 17126786 17127782 | pad: 11, 9 | 
read_950 status=OK qual=AA diff=<0, -1>  | 3269829 3270832 | pad: 11, 10 | 
read_951 status=OK qual=AA diff=<0, -1>  | 9212861 9213862 | pad: 11, 10 | 
read_952 status=OK qual=AB diff=<0, -13>  | 3437387 3438396 | pad: 11, None | 
read_953 status=OK qual=C diff=<11, -11>  | 11797964 11798984 | pad: None, None | 
read_954 status=OK qual=AA diff=<0, -3>  | 4851641 4852638 | pad: 10, 8 | 
read_955 status=OK qual=AB diff=<9, -1>  | 18838919 18839931 | pad: None, 10 | 
read_956 status=OK qual=AA diff=<0, -1>  | 4804172 4805175 | pad: 11, 10 | 
read_957 status=OK qual=AB diff=<0, -12>  | 4383431 4384449 | pad: 11, None | 
read_958 status=OK qual=AA diff=<0, -1>  | 8650972 8651967 | pad: 11, 10 | 
read_959 status=OK qual=AA diff=<0, -1>  | 12761033 12762034 | pad: 11, 10 | 
read_960 status=OK qual=AB diff=<0, -10>  | 6764474 6765488 | pad: 11, None | 
read_961 status=OK qual=C diff=<12, -11>  | 8813635 8814660 | pad: None, None | 
read_962 status=OK qual=AB diff=<10, 0>  | 15106065 15107071 | pad: None, 11 | 
read_963 status=OK qual=AA diff=<0, -9>  | 14919655 14920664 | pad: 11, None | 
read_964 status=OK qual=AB diff=<0, -14>  | 17675533 17676541 | pad: 11, None | 
read_965 status=OK qual=AB diff=<0, -11>  | 13287183 13288190 | pad: 11, None | 
read_966 status=OK qual=AA diff=<0, -1>  | 1544194 1545187 | pad: 11, 10 | 
read_967 status=OK qual=AB diff=<0, -11>  | 4366022 4367032 | pad: 11, None | 
read_968 status=OK qual=AB diff=<11, 0>  | 13346331 13347346 | pad: None, 10 | 
read_969 status=OK qual=AB diff=<9, -1>  | 15572060 15573076 | pad: None, 10 | 
read_970 status=OK qual=AB diff=<0, -11>  | 10275642 10276659 | pad: 11, None | 
read_971 status=OK qual=AB diff=<11, -1>  | 3869222 3870232 | pad: None, 9 | 
read_972 status=OK qual=AB diff=<9, -1>  | 1525004 1526020 | pad: None, 10 | 
read_973 status=OK qual=AA diff=<0, -1>  | 3933380 3934377 | pad: 11, 10 | 
read_974 status=OK qual=AA diff=<0, -1>  | 777152 778151 | pad: 11, 10 | 
read_975 status=OK qual=AA diff=<0, -1>  | 46129 47129 | pad: 11, 10 | 
read_976 status=OK qual=AB diff=<10, -1>  | 18802958 18803974 | pad: None, 10 | 
read_977 status=OK qual=AA diff=<0, -1>  | 1965847 1966844 | pad: 11, 10 | 
read_978 status=OK qual=AA diff=<-1, -1>  | 15347162 15348169 | pad: 11, 10 | 
read_979 status=OK qual=AA diff=<0, -1>  | 14486316 14487322 | pad: 11, 10 | 
read_980 status=OK qual=AA diff=<0, -1>  | 1691795 1692800 | pad: 11, 10 | 
read_981 status=OK qual=AA diff=<0, -8>  | 18218615 18219629 | pad: 11, None | 
read_982 status=OK qual=AA diff=<0, 0>  | 7422546 7423550 | pad: 11, 11 | 
read_983 status=OK qual=AA diff=<0, -1>  | 10751634 10752631 | pad: 11, 10 | 
read_984 status=OK qual=AB diff=<2, -12>  | 11564574 11565588 | pad: 11, None | 
read_985 status=OK qual=AB diff=<10, -1>  | 408266 409272 | pad: None, 10 | 
read_986 status=OK qual=AA diff=<8, -1>  | 16971164 16972176 | pad: None, 10 | 
read_987 status=OK qual=AB diff=<0, -11>  | 15304187 15305205 | pad: 11, None | 
read_988 status=OK qual=AB diff=<0, -11>  | 16015577 16016580 | pad: 11, None | 
read_989 status=OK qual=AB diff=<0, -12>  | 14430427 14431443 | pad: 11, None | 
read_990 status=OK qual=AA diff=<0, -1>  | 18390040 18391043 | pad: 11, 10 | 
read_991 status=OK qual=C diff=<11, -11>  | 15376760 15377782 | pad: None, None | 
read_992 status=OK qual=AA diff=<0, -1>  | 6288486 6289482 | pad: 11, 10 | 
read_993 status=OK qual=AA diff=<0, -1>  | 1900363 1901362 | pad: 11, 10 | 
read_994 status=OK qual=AA diff=<0, -2>  | 14094971 14095963 | pad: 11, 9 | 
read_995 status=OK qual=AB diff=<0, -12>  | 18999596 19000607 | pad: 11, None | 
read_996 status=OK qual=AA diff=<0, -1>  | 16460283 16461286 | pad: 11, 10 | 
read_997 status=OK qual=AB diff=<0, -11>  | 10504067 10505075 | pad: 11, None | 
read_998 status=OK qual=AA diff=<0, -1>  | 2649653 2650658 | pad: 11, 10 | 
read_999 status=OK qual=AA diff=<0, -1>  | 15269989 15270992 | pad: 11, 10 | 
