read_144 status=OK qual=AB diff=<0, -11>  | 5910492 5911497 | pad: 11, None | 
read_145 status=OK qual=AB diff=<13, -1>  | 19845597 19846615 | pad: None, 10 | 
read_146 status=OK qual=AA diff=<0, 0>  | 7977983 7978977 | pad: 11, 10 | 
read_147 status=OK qual=AB diff=<12, -6>  | 11296354 11297364 | pad: None, 5 | 
read_148 status=OK qual=AB diff=<11, -1>  | 11182057 11183069 | pad: None, 10 | 
read_149 status=OK qual=AB diff=<0, -11>  | 6959820 6960828 | pad: 11, None | 
read_150 status=OK qual=AB diff=<9, -2>  | 6147082 6148089 | pad: None, 10 | 
read_151 status=OK qual=AA diff=<0, -1>  | 7046505 7047506 | pad: 11, 10 | 
read_152 status=OK qual=AB diff=<11, -2>  | 12245124 12246135 | pad: None, 9 | 
read_153 status=OK qual=AA diff=<0, 0>  | 5043409 5044413 | pad: 11, 10 | 
read_154 status=OK qual=AB diff=<13, -1>  | 5323375 5324381 | pad: None, 10 | 
read_155 status=OK qual=AB diff=<11, -1>  | 3864581 3865591 | pad: None, 10 | 
read_156 status=OK qual=AB diff=<0, -11>  | 12142808 12143819 | pad: 11, None | 
read_157 status=OK qual=AA diff=<0, -1>  | 13421646 13422642 | pad: 11, 10 | 
read_158 status=OK qual=AA diff=<0, -8>  | 12050903 12051915 | pad: 10, None | 
read_159 status=OK qual=AA diff=<0, -3>  | 18405263 18406275 | pad: 11, None | 
read_160 status=OK qual=AA diff=<0, -2>  | 3654663 3655665 | pad: 11, 9 | 
read_161 status=OK qual=AB diff=<16, -1>  | 860432 861447 | pad: None, 10 | 
read_162 status=OK qual=AB diff=<11, 0>  | 10300750 10301765 | pad: None, 10 | 
read_163 status=OK qual=AA diff=<0, -8>  | 17845468 17846484 | pad: 11, None | 
read_164 status=OK qual=AA diff=<0, 0>  | 5356531 5357530 | pad: 11, 11 | 
read_165 status=OK qual=AA diff=<0, -1>  | 11343175 11344172 | pad: 11, 10 | 
read_166 status=OK qual=AA diff=<0, -2>  | 15005827 15006835 | pad: 11, 9 | 
read_167 status=OK qual=AB diff=<0, -13>  | 18468562 18469575 | pad: 11, None | 
read_168 status=OK qual=AA diff=<0, -2>  | 13475132 13476136 | pad: 11, 10 | 
read_169 status=OK qual=AA diff=<0, -1>  | 18879013 18880014 | pad: 11, 10 | 
read_170 status=OK qual=AA diff=<8, 0>  | 4835580 4836590 | pad: None, 11 | 
read_171 status=OK qual=AA diff=<0, -2>  | 3172449 3173447 | pad: 12, 9 | 
read_172 status=OK qual=AA diff=<0, -1>  | 15547401 15548408 | pad: 9, 10 | 
read_173 status=OK qual=AA diff=<0, -1>  | 6939818 6940822 | pad: 12, 10 | 
read_174 status=OK qual=AB diff=<12, -1>  | 11312726 11313733 | pad: None, 10 | 
read_175 status=OK qual=AA diff=<0, -1>  | 3061690 3062693 | pad: 11, 10 | 
read_176 status=OK qual=AB diff=<0, -11>  | 13246923 13247935 | pad: 11, None | 
read_177 status=OK qual=AA diff=<0, -1>  | 6754455 6755453 | pad: 11, 10 | 
read_178 status=OK qual=AA diff=<0, 0>  | 15634761 15635763 | pad: 11, 11 | 
read_179 status=OK qual=AB diff=<12, -3>  | 17416491 17417498 | pad: None, 8 | 
read_180 status=OK qual=AA diff=<0, -9>  | 6779333 6780340 | pad: 11, None | 
read_181 status=OK qual=AA diff=<0, -2>  | 7157259 7158267 | pad: 11, 10 | 
read_182 status=OK qual=AA diff=<0, -1>  | 9994495 9995498 | pad: 11, 10 | 
read_183 status=OK qual=AB diff=<11, -1>  | 3483992 3485000 | pad: None, 10 | 
read_184 status=OK qual=AA diff=<0, -1>  | 5466139 5467143 | pad: 11, 10 | 
read_185 status=OK qual=AA diff=<0, -1>  | 4735871 4736876 | pad: 11, 10 | 
read_186 status=OK qual=AA diff=<0, 0>  | 4059044 4060038 | pad: 11, 10 | 
read_187 status=OK qual=AB diff=<12, -2>  | 19582429 19583440 | pad: None, 9 | 
read_188 status=OK qual=C diff=<10, -15>  | 8214124 8215142 | pad: None, None | 
read_189 status=OK qual=AB diff=<12, -1>  | 16294156 16295167 | pad: None, 10 | 
read_190 status=OK qual=AA diff=<0, -1>  | 4472960 4473965 | pad: 11, 10 | 
read_191 status=OK qual=AA diff=<6, -1>  | 1524150 1525161 | pad: None, 10 | 
read_192 status=OK qual=AA diff=<0, -2>  | 3083251 3084252 | pad: 11, 9 | 
read_193 status=OK qual=AB diff=<0, -14>  | 4551221 4552231 | pad: 12, None | 
read_194 status=OK qual=AA diff=<0, -1>  | 70186 71187 | pad: 11, 10 | 
read_195 status=OK qual=AB diff=<0, -11>  | 10741560 10742571 | pad: 12, None | 
read_196 status=OK qual=AB diff=<0, -12>  | 5725864 5726868 | pad: 11, None | 
read_197 status=OK qual=AB diff=<0, -12>  | 11170622 11171640 | pad: 11, None | 
read_198 status=OK qual=AB diff=<11, -2>  | 16058234 16059244 | pad: None, 10 | 
read_199 status=OK qual=AA diff=<0, -1>  | 9143996 9144997 | pad: 11, 10 | 
read_200 status=OK qual=AB diff=<0, -11>  | 16489993 16491002 | pad: 11, None | 
read_201 status=OK qual=AB diff=<0, -14>  | 14876571 14877582 | pad: 10, None | 
read_202 status=OK qual=C diff=<13, -11>  | 2661034 2662056 | pad: None, None | 
read_203 status=OK qual=AB diff=<0, -13>  | 19726167 19727178 | pad: 11, None | 
read_204 status=OK qual=AB diff=<12, -1>  | 13555059 13556072 | pad: None, 10 | 
read_205 status=OK qual=AA diff=<0, -2>  | 9236539 9237541 | pad: 11, 9 | 
read_206 status=OK qual=AB diff=<0, -11>  | 4048806 4049813 | pad: 10, None | 
read_207 status=OK qual=AA diff=<0, -1>  | 8871686 8872687 | pad: 11, 10 | 
read_208 status=OK qual=AA diff=<0, -8>  | 3875585 3876593 | pad: 11, None | 
read_209 status=OK qual=AA diff=<0, 1>  | 6041007 6042011 | pad: 11, 12 | 
read_210 status=OK qual=AA diff=<0, -1>  | 7245866 7246869 | pad: 11, 10 | 
read_211 status=OK qual=AB diff=<12, -1>  | 2021625 2022632 | pad: None, 10 | 
read_212 status=OK qual=AA diff=<0, -3>  | 5458098 5459098 | pad: 10, 10 | 
read_213 status=OK qual=AB diff=<11, -1>  | 9627525 9628545 | pad: None, 7 | 
read_214 status=OK qual=AA diff=<0, -1>  | 1056431 1057428 | pad: 11, 10 | 
read_215 status=OK qual=AB diff=<0, -11>  | 1512345 1513352 | pad: 11, None | 
read_216 status=OK qual=AA diff=<0, -2>  | 11836105 11837109 | pad: 11, 10 | 
