read_184 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<2, -2>
read_185 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_186 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_187 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-1, 2>
read_188 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<2, -1>
read_189 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_190 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_191 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_192 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<2, -1>
read_193 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<4, -1>
read_194 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_195 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, 1>
read_196 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, -3>
read_197 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_198 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_199 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_200 | status=OK | qual=AA | max_diff=4 sum_diff=6 | diff=<4, -2>
read_201 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_202 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, -1>
read_203 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<-4, -1>
read_204 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_205 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_206 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_207 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_208 | status=OK | qual=AB | max_diff=15 sum_diff=17 | diff=<-15, -2>
read_209 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_210 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_211 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, 1>
read_212 | status=OK | qual=AB | max_diff=9 sum_diff=10 | diff=<-9, -1>
read_213 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<-6, -2>
read_214 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<0, 5>
read_215 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_216 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, 1>
read_217 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<2, 0>
read_218 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_219 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_220 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_221 | status=OK | qual=AA | max_diff=5 sum_diff=8 | diff=<-5, -3>
read_222 | status=OK | qual=AA | max_diff=5 sum_diff=6 | diff=<-5, 1>
read_223 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_224 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_225 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<6, -2>
read_226 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_227 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_228 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_229 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<1, -4>
read_230 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_231 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
